145.208,448.327
-0.883,1.007
-0.147,0.41
-0.063,0.551
-0.011,0.93
0.925,4.865
0.126,0.253
0.36,0.213
1.17,0.665
0.01,0.593
-0.381,1.184
-0.734,1.797
-0.274,0.665
-0.777,1.854
-0.189,0.431
-0.761,0.108
-1.074,-0.212
-1.021,-0.35
-0.501,-1.046
-1.212,-0.486
-0.306,-0.032
-0.604,0.17
-0.376,0.136
-2.39,2.844
-0.529,1.068
-0.47,2.434
0.005,0.326
0.54,1.29
0.735,0.973
-1.756,4.947
-0.286,0.774
0.508,0.009
5.281,3.521
2.654,4.854
0.2,0.399
0.074,0.17
0.735,2.242
0.072,0.398
0.021,1.925
-1.998,1.154
-2.095,-0.855
-0.667,-0.087
-0.894,0.275
-0.988,1.3
0.228,0.478
1.677,1.63
0.37,0.263
0.095,0.168
-1.677,1.861
-0.296,0.011
-0.998,-0.242
-1.84,-1.079
-4.34,1.883
-0.346,0.181
-0.582,0.422
-1.526,2.009
-0.068,0.128
0.059,1.321
0.369,0.517
0.52,0.318
0.788,0.604
0.999,0.897
0.127,0.358
-0.382,2.991
-0.302,0.401
-2.313,-0.644
-0.382,-0.148
-4.16,3.468
-1.988,1.122
-0.946,0.198
0.684,1.935
5.413,7.573
0.471,0.327
0.274,0.084
0.35,0.041
3.336,-0.104
1.988,-0.318
0.295,-0.085
7.021,-2.686
4.143,-1.882
2.525,-0.826
0.915,-0.063
1.053,0.147
1.851,0.393
0.581,0.242
1.157,1.109
0.692,0.749
0.443,0.646
0.777,1.163
1.274,1.161
0.718,0.849
0.375,0.561
0.467,0.813
0.48,1.174
0.031,0.95
0.593,1.903
0.126,0.551
-0.02,0.497
-0.064,0.338
157.965,529
-0.348,0.566
-0.134,0.353
-0.115,0.526
0.000,0.393
0.189,0.792
2.231,5.638
0.301,0.495
1.005,1.438
0.522,0.984
2.792,2.916
0.344,2.339
-0.618,1.014
-0.148,0.295
-0.083,0.191
-0.407,0.604
-0.477,0.382
-0.412,0.232
-0.387,0.159
-1.506,0.326
-0.699,0.264
-0.48,0.244
-0.55,0.337
-0.63,0.486
-0.115,0.127
-0.2,0.37
-0.075,0.243
-0.169,0.974
0.105,0.454
1.604,5.147
0.502,0.922
1.592,2.39
0.506,1.185
-0.084,1.142
-0.401,0.697
-0.127,0.497
-0.021,0.422
0.042,0.37
0.105,0.309
0.424,0.845
1.094,4.42
0.085,0.624
0.429,3.193
-0.237,0.181
-0.223,0.232
-0.115,0.306
0.011,0.357
0.126,0.244
0.159,0.18
0.259,0.223
0.23,0.106
0.583,0.104
0.66,-0.029
1,-0.031
0.561,0.104
0.359,0.159
0.344,0.401
0.097,0.317
-0.011,0.317
-0.778,2.095
0.17,2.292
0.053,0.857
-0.042,0.569
-0.244,0.931
-0.381,0.847
-0.587,0.868
-0.496,0.516
-0.443,0.341
-0.449,0.307
-0.52,0.485
-0.223,0.316
-0.131,0.327
-0.032,0.201
0.032,0.435
0.142,0.378
0.19,0.226
0.212,0.138
1.031,0.349
0.243,0.139
0.35,0.315
0.23,0.36
0.122,0.538
-0.047,0.422
-0.106,0.225
-1.358,0.696
-1.761,1.969
-0.491,0.443
-1.442,0.93
-0.551,0.338
-0.512,0.443
-0.36,0.433
-0.285,0.541
-0.18,0.613
-0.053,0.707
0.021,0.042
0.097,0.000
0.17,-0.042
0.158,1.8
-2.412,10.287
-0.181,0.517
-0.447,0.729
-0.688,0.846
-0.011,0.011
-0.978,1.059
-0.714,1.058
-0.359,0.656
-0.454,1.185
-0.195,0.897
-0.201,1.406
-0.074,0.297
