538.222,170.708
-0.212,2.051
1.063,3.289
0.825,-0.021
0.649,0.127
0.327,0.919
0.074,0.497
-0.978,2.157
-2.433,3.679
-0.519,0.244
-0.169,0.148
-0.333,2.103
-0.147,0.963
0.012,0.243
0.27,1.059
0.127,0.4
1.041,1.354
-0.259,2.559
-0.075,0.528
-0.549,3.192
-0.672,2.264
-0.583,0.981
-0.252,0.317
-3.263,3.415
-1.223,1.175
-1.682,1.426
-0.939,0.498
-0.799,0.264
-2.126,1.438
-1.464,1.396
-0.273,0.919
0.031,0.157
0.285,1.651
1.094,3.921
0.35,0.709
-0.105,1.312
-0.745,1.228
-0.793,1.088
-0.472,1.11
0.032,0.645
0.063,0.181
0.354,0.636
0.168,0.18
0.688,0.308
1.839,0.146
3.749,1.49
7.81,5.075
1.526,1.459
1.604,1.859
1.702,2.031
0.073,0.095
0.243,0.401
0.181,0.698
2.094,1.998
0.978,0.665
1.824,1.206
0.821,0.412
1.432,0.709
0.861,0.434
0.308,0.105
0.49,0.095
0.317,0.17
1.729,1.174
0.428,0.465
2.337,2.992
0.158,0.296
0.212,7.781
-0.138,0.666
-0.139,0.265
-1.725,3.014
-0.75,1.015
-1.573,1.1
-0.285,0.201
-0.317,0.37
-0.202,0.454
-0.104,0.509
-0.365,2.294
-0.084,0.762
1.041,1.606
0.264,0.551
0.346,2.674
1.495,5.614
0.072,0.254
0.191,0.223
0.945,1.058
0.2,0.19
0.413,0.2
0.734,-0.043
0.316,0.064
4.717,1.184
0.096,0.042
0.291,0.223
0.211,0.274
0.989,1.385
0.115,0.19
0.021,0.232
-0.221,6.406
-0.055,0.444
-0.471,0.92
-0.819,1.035
-0.137,0.266
-0.012,0.35
0.301,2.568
0.402,0.834
0.316,0.445
0.502,0.518
0.224,0.148
0.729,0.063
0.619,0.188
0.423,0.223
0.599,0.434
0.412,0.413
0.946,1.522
0.031,0.316
-0.433,3.288
-0.056,0.127
-0.354,0.729
-1.422,2.411
0.127,0.074
0.274,0.603
-0.179,5.995
-0.969,3.394
-2.938,4.027
-1.156,0.975
-1.697,1.755
-0.355,0.401
0.000,0.073
0.031,1.173
0.053,0.521
0.821,1.258
0.2,0.307
0.169,0.116
1.021,0.296
2.852,6.291
0.496,1.11
1.538,1.712
2.263,1.703
0.339,0.222
0.692,0.562
0.555,0.654
0.677,1.407
0.502,4.218
-0.798,2.696
-0.894,1.364
-0.979,-0.794
-0.822,0.762
-0.651,2.347
-0.105,0.266
-0.157,0.231
-0.473,0.55
-0.169,0.063
-3.191,0.316
-0.534,-0.073
-0.423,-0.097
-0.147,-0.169
-0.438,-0.75
-0.147,-0.666
-2.21,-0.855
-6.947,2.463
-0.359,0.254
-0.126,0.36
0.011,0.38
0.084,0.539
-0.328,-0.181
-3.44,0.444
-4.347,2.452
-2.93,-1.015
-4.018,-0.519
-3.065,0.096
-1.295,-0.212
-0.396,0.063
-2.122,3.076
-1.511,4.439
-1.422,5.521
-2.666,3.499
-7.521,1.543
-0.327,0.054
-2.791,-0.085
-1.582,0.593
-2.053,1.016
-0.84,0.569
-3.103,-0.38
-0.508,-0.105
-0.83,-0.454
-0.34,-0.434
-0.464,0.676
-3.315,0.096
