1 8; Linie: 0.407 8.157
1 30; Linie: 0.437 29.612
1 10; Linie: 0.167 9.163
1 99; Linie: 0.392 99.066
1 23; Linie: 0.418 22.998
1 30; Linie: 0.27 29.737
1 12; Linie: 0.047 11.076
1 68; Linie: 0.506 68.26
1 4; Linie: 0.532 3.85
1 63; Linie: 0.538 63.405
1 88; Linie: 0.094 88.226
1 59; Linie: 0.346 59.379
1 34; Linie: 0.244 34.428
1 62; Linie: 0.47 62.058
1 3; Linie: 0.447 2.248
1 44; Linie: 0.225 43.845
1 80; Linie: 0.509 79.79
1 51; Linie: 0.491 50.38
1 99; Linie: 0.523 99.247
1 99; Linie: 0.072 99.62
1 87; Linie: 0.06 87.808
1 10; Linie: 0.167 9.163
1 49; Linie: 0.459 49.144
1 20; Linie: 0.063 19.764
1 45; Linie: 0.234 45.375
1 87; Linie: 0.402 86.789
1 14; Linie: 0.333 14.08
1 59; Linie: 0.336 59.02
1 93; Linie: 0.301 92.88
1 8; Linie: 0.278 7.828
1 71; Linie: 0.389 71.028
1 3; Linie: 0.447 2.248
1 30; Linie: 0.568 29.89
1 40; Linie: 0.379 40.228
1 10; Linie: 0.332 10.185
1 85; Linie: 0.448 84.712
1 12; Linie: 0.514 11.414
1 30; Linie: 0.316 29.579
1 65; Linie: 0.572 64.835
1 92; Linie: 0.107 92.954
1 9; Linie: 0.417 9.33
1 58; Linie: 0.216 58.598
1 82; Linie: 0.446 81.611
1 36; Linie: 0.105 35.975
1 92; Linie: 0.47 93.131
1 52; Linie: 0.432 52.526
1 93; Linie: 0.091 93.335
1 54; Linie: 0.134 54.527
1 3; Linie: 0.447 2.248
1 50; Linie: 0.282 50.252
1 52; Linie: 0.27 51.579
1 10; Linie: 0.038 9.049
1 2; Linie: 0.596 1.913
1 79; Linie: 0.059 79.405
1 2; Linie: 0.596 1.913
1 19; Linie: 0.116 18.65
1 2; Linie: 0.596 1.913
1 97; Linie: 0.246 97.165
1 3; Linie: 0.596 1.913
1 3; Linie: 0.596 1.913
1 3; Linie: 0.596 1.913
1 3; Linie: 0.596 1.913
1 33; Linie: 0.168 33.136
1 11; Linie: 0.454 10.451
1 79; Linie: 0.509 79.79
1 44; Linie: 0.441 43.795
1 10; Linie: 0.471 9.691
1 10; Linie: 0.3 10.066
1 38; Linie: 0.112 37.758
1 7; Linie: 0.589 7.105
1 30; Linie: 0.568 29.89
1 10; Linie: 0.562 9.598
1 60; Linie: 0.55 59.888
1 40; Linie: 0.601 40.187
1 79; Linie: 0.592 79.5
1 30; Linie: 0.568 29.89
1 44; Linie: 0.528 44.241
1 20; Linie: 0.21 20.085
1 4; Linie: 0.566 4.129
1 5; Linie: 0.553 5.165
1 58; Linie: 0.216 58.598
1 51; Linie: 0.257 51.172
1 10; Linie: 0.42 9.626
1 38; Linie: 0.388 37.541
1 45; Linie: 0.083 45.711
1 84; Linie: 0.046 84.448
1 12; Linie: 0.514 11.414
1 88; Linie: 0.412 88.094
1 32; Linie: 0.1 31.954
1 97; Linie: 0.246 97.165
1 23; Linie: 0.626 22.672
1 97; Linie: 0.511 97.034
1 51; Linie: 0.621 50.793
1 79; Linie: 0.509 79.79
1 55; Linie: 0.516 54.947
1 2; Linie: 0.614 1.969
1 41; Linie: 0.578 41.239
1 23; Linie: 0.626 22.672
1 33; Linie: 0.589 32.498
1 51; Linie: 0.049 50.796
1 85; Linie: 0.577 84.976
1 51; Linie: 0.491 50.38
1 66; Linie: 0.52 65.95
1 38; Linie: 0.388 37.541
1 79; Linie: 0.592 79.5
1 62; Linie: 0.085 62.475
1 2; Linie: 0.614 1.969
1 3; Linie: 0.447 2.248
1 85; Linie: 0.577 84.976
1 84; Linie: 0.211 84.49
1 77; Linie: 0.528 77.552
1 24; Linie: 0.287 24.25
1 22; Linie: 0.249 22.188
1 81; Linie: 0.119 80.755
1 78; Linie: 0.266 78.496
1 4; Linie: 0.612 3.541
1 51; Linie: 0.491 50.38
1 59; Linie: 0.523 59.427
1 4; Linie: 0.612 3.541
1 97; Linie: 0.167 97.768
1 84; Linie: 0.046 84.448
1 76; Linie: 0.26 76.228
1 93; Linie: 0.32 93.099
1 34; Linie: 0.244 34.428
1 3; Linie: 0.614 1.969
1 12; Linie: 0.051 11.756
1 3; Linie: 0.614 1.969
1 72; Linie: 0.505 72.789
1 3; Linie: 0.614 1.969
1 4; Linie: 0.167 3.313
1 63; Linie: 0.438 63.159
1 50; Linie: 0.397 49.676
1 3; Linie: 0.614 1.969
1 3; Linie: 0.002 2.734
1 1; Linie: 0.192 0.961
1 40; Linie: 0.601 40.187
1 35; Linie: 0.47 34.525
1 59; Linie: 0.336 59.02
1 2; Linie: 0.149 1.379
1 45; Linie: 0.449 45.191
1 89; Linie: 0.191 89.06
1 87; Linie: 0.673 87.375
1 85; Linie: 0.577 84.976
1 87; Linie: 0.673 87.375
1 99; Linie: 0.651 99.12
1 36; Linie: 0.669 36.115
1 87; Linie: 0.673 87.375
1 77; Linie: 0.638 77.4
1 87; Linie: 0.673 87.375
1 0; Linie: 0.655 0.085
1 34; Linie: 0.335 34.246
1 77; Linie: 0.646 76.783
1 44; Linie: 0.563 43.64
1 33; Linie: 0.124 32.187
1 44; Linie: 0.528 44.241
1 41; Linie: 0.578 41.239
1 77; Linie: 0.49 76.827
1 10; Linie: 0.541 9.773
1 39; Linie: 0.651 39.203
1 97; Linie: 0.511 97.034
1 38; Linie: 0.327 37.432
1 64; Linie: 0.63 64.01
1 40; Linie: 0.601 40.187
1 83; Linie: 0.377 83.615
1 83; Linie: 0.674 83.628
1 26; Linie: 0.348 25.949
1 83; Linie: 0.536 83.431
1 89; Linie: 0.678 88.97
1 89; Linie: 0.678 88.97
1 93; Linie: 0.091 93.335
1 65; Linie: 0.572 64.835
1 63; Linie: 0.291 63.405
1 73; Linie: 0.182 73.33
1 0; Linie: 0.583 0.143
1 83; Linie: 0.377 83.615
1 3; Linie: 0.247 2.627
1 23; Linie: 0.334 22.252
1 73; Linie: 0.161 73.269
1 32; Linie: 0.378 31.382
1 10; Linie: 0.471 9.691
1 10; Linie: 0.659 9.62
1 88; Linie: 0.588 88.505
1 14; Linie: 0.567 13.851
1 88; Linie: 0.545 88.407
1 88; Linie: 0.683 88.409
1 44; Linie: 0.441 43.795
1 12; Linie: 0.574 11.805
1 68; Linie: 0.662 68.54
1 22; Linie: 0.495 21.133
1 63; Linie: 0.708 63.048
1 73; Linie: 0.669 72.769
1 27; Linie: 0.702 26.701
1 41; Linie: 0.076 40.515
1 36; Linie: 0.439 36.145
1 28; Linie: 0.529 27.498
1 95; Linie: 0.563 94.876
1 73; Linie: 0.161 73.269
1 90; Linie: 0.618 89.902
1 58; Linie: 0.216 58.598
1 49; Linie: 0.567 48.802
1 73; Linie: 0.636 73.446
1 47; Linie: 0.486 46.674
1 55; Linie: 0.725 55.305
1 55; Linie: 0.651 55.503
1 44; Linie: 0.563 43.64
1 40; Linie: 0.328 40.207
1 45; Linie: 0.449 45.191
1 39; Linie: 0.359 39.017
1 63; Linie: 0.291 63.405
1 92; Linie: 0.523 92.516
1 56; Linie: 0.667 55.695
1 97; Linie: 0.246 97.165
1 4; Linie: 0.612 3.541
1 96; Linie: 0.348 95.944
1 83; Linie: 0.536 83.431
1 73; Linie: 0.636 73.446
1 4; Linie: 0.01 3.472
1 49; Linie: 0.459 49.144
1 33; Linie: 0.415 33.016
1 11; Linie: 0.454 10.451
1 33; Linie: 0.029 32.783
1 65; Linie: 0.717 64.892
1 59; Linie: 0.508 58.858
1 68; Linie: 0.662 68.54
1 72; Linie: 0.669 72.769
1 64; Linie: 0.099 63.545
1 49; Linie: 0.459 49.144
1 60; Linie: 0.655 60.128
1 40; Linie: 0.714 39.864
1 24; Linie: 0.728 24.383
1 63; Linie: 0.708 63.048
1 66; Linie: 0.34 65.834
1 10; Linie: 0.562 9.598
1 59; Linie: 0.523 59.427
1 84; Linie: 0.745 84.02
1 88; Linie: 0.545 88.407
1 33; Linie: 0.577 32.176
1 92; Linie: 0.107 92.954
1 27; Linie: 0.702 26.701
1 41; Linie: 0.577 41.104
1 77; Linie: 0.744 77.17
1 34; Linie: 0.335 34.246
1 5; Linie: 0.417 4.298
1 10; Linie: 0.562 9.598
1 27; Linie: 0.702 26.701
1 97; Linie: 0.691 96.594
1 51; Linie: 0.257 51.172
1 88; Linie: 0.588 88.505
1 55; Linie: 0.388 55.1
1 92; Linie: 0.695 91.984
1 10; Linie: 0.332 10.185
1 97; Linie: 0.167 97.768
1 4; Linie: 0.772 4.216
1 97; Linie: 0.769 97.437
1 89; Linie: 0.555 88.552
1 34; Linie: 0.335 34.246
1 24; Linie: 0.416 24.516
1 99; Linie: 0.392 99.066
1 5; Linie: 0.324 4.539
1 34; Linie: 0.292 33.993
1 38; Linie: 0.425 38.131
1 41; Linie: 0.601 40.187
1 84; Linie: 0.456 84.873
1 34; Linie: 0.756 33.511
1 18; Linie: 0.361 17.513
1 5; Linie: 0.417 4.298
1 55; Linie: 0.651 55.503
1 11; Linie: 0.576 10.628
1 10; Linie: 0.659 9.62
1 38; Linie: 0.327 37.432
1 59; Linie: 0.14 58.262
1 27; Linie: 0.702 26.701
1 97; Linie: 0.246 97.165
1 98; Linie: 0.092 98.282
1 7; Linie: 0.79 6.969
1 4; Linie: 0.612 3.541
1 25; Linie: 0.287 24.25
1 68; Linie: 0.662 68.54
1 21; Linie: 0.331 20.694
1 92; Linie: 0.729 92.38
1 58; Linie: 0.797 58.319
1 97; Linie: 0.768 96.925
1 48; Linie: 0.175 48.069
1 59; Linie: 0.754 59.356
1 19; Linie: 0.427 19.27
1 99; Linie: 0.244 99.378
1 39; Linie: 0.651 39.203
1 90; Linie: 0.792 90.427
1 12; Linie: 0.574 11.805
1 61; Linie: 0.298 61.359
1 90; Linie: 0.792 90.427
