(99.3384, 11.477)
(98.9628, 40.2938)
(97.873, 54.4312)
(97.437, 23.289)
(97.36, 96.115)
(97.1457, 81.385)
(96.1801, 78.8312)
(96.1208, 81.6774)
(95.8839, 33.4883)
(95.8485, 10.5433)
(95.5848, 84.766)
(95.1764, 41.9398)
(94.6553, 90.6933)
(94.3348, 65.8365)
(94.1418, 44.0356)
(94.0228, 37.9484)
(93.8823, 39.9045)
(93.8488, 67.2147)
(93.4632, 51.644)
(93.3507, 2.9202)
(92.9657, 80.9691)
(92.729, 30.795)
(92.6283, 90.8963)
(92.5389, 23.349)
(92.0478, 80.2826)
(91.8246, 5.303)
(91.6087, 76.8053)
(91.5363, 6.3731)
(91.5332, 52.3492)
(91.5267, 54.6809)
(91.403, 74.5084)
(91.34, 48.4183)
(91.1467, 57.1767)
(91.1407, 11.2572)
(91.0217, 54.6791)
(91.0067, 76.8325)
(90.9546, 37.7656)
(90.7526, 37.846)
(90.6956, 25.5678)
(90.6902, 49.1373)
(90.6622, 43.4563)
(90.6372, 94.873)
(90.2157, 8.5918)
(90.2132, 30.0895)
(90.183, 99.489)
(90.1651, 44.3456)
(90.144, 72.144)
(90.0339, 39.243)
(89.8068, 86.3539)
(89.6917, 67.6516)
(89.6062, 74.4024)
(89.4166, 51.6337)
(89.2775, 77.2491)
(89.1566, 51.7195)
(89.148, 8.033)
(89.0853, 83.6947)
(88.999, 36.1998)
(88.8358, 27.4854)
(88.816, 44.117)
(88.6607, 12.1311)
(88.4953, 11.4272)
(88.4439, 78.6257)
(88.3248, 45.1258)
(88.2412, 45.6148)
(88.1597, 14.1171)
(88.1191, 14.0123)
(88.1167, 81.8669)
(87.8143, 69.5408)
(87.797, 26.1603)
(87.718, 62.2008)
(87.621, 41.786)
(87.6118, 14.4524)
(87.598, 53.156)
(87.4322, 20.6331)
(87.4255, 5.3496)
(87.3293, 88.2471)
(87.2553, 74.3109)
(87.096, 10.6817)
(87.001, 20.1726)
(86.9146, 14.0994)
(86.891, 9.578)
(86.8112, 63.6793)
(86.4119, 46.1827)
(86.2834, 3.2343)
(86.197, 40.513)
(86.1662, 84.5637)
(86.0245, 33.6496)
(86.0003, 93.949)
(85.8112, 25.6264)
(85.8068, 74.134)
(85.7949, 34.1937)
(85.681, 92.6832)
(85.6564, 29.7754)
(85.5766, 71.1972)
(85.5376, 26.8042)
(85.5296, 77.7866)
(85.4807, 93.3794)
(85.4717, 10.5477)
(85.406, 64.017)
(85.4058, 79.1398)
(85.2604, 43.7788)
(85.0643, 19.602)
(84.9936, 13.9442)
(84.9862, 54.3263)
(84.8921, 46.0326)
(84.7647, 6.1124)
(84.762, 32.404)
(84.5784, 30.8493)
(84.5216, 50.2358)
(84.4701, 29.5367)
(84.4695, 85.3848)
(84.3653, 49.4185)
(84.2619, 87.5406)
(84.231, 22.792)
(84.1366, 31.2621)
(84.1204, 37.6674)
(83.972, 46.633)
(83.924, 57.554)
(83.8836, 7.1623)
(83.855, 33.195)
(83.7114, 69.9393)
(83.5948, 77.9248)
(83.3299, 85.9171)
(83.2808, 23.1083)
(83.2211, 10.4609)
(83.198, 66.7373)
(83.1352, 8.1313)
(82.9748, 50.5131)
(82.95, 95)
(82.8508, 14.4349)
(82.772, 29.929)
(82.6757, 69.1775)
(82.596, 58.588)
(82.4839, 76.5728)
(82.4378, 91.355)
(82.3242, 78.7032)
(82.3199, 88.9458)
(82.2611, 69.9942)
(82.1527, 80.1889)
(82.0739, 53.1226)
(81.893, 18.498)
(81.7974, 77.6805)
(81.7121, 26.6065)
(81.6871, 27.0514)
(81.6802, 11.1811)
(81.5876, 43.8898)
(81.561, 66.069)
(81.5255, 50.9042)
(81.4611, 73.1363)
(81.2641, 44.3135)
(81.2354, 66.1544)
(81.1429, 18.6051)
(81.111, 53.373)
(81.0799, 18.0306)
(81.043, 18.842)
(81.041, 35.3785)
(80.9357, 11.1126)
(80.8881, 63.7645)
(80.693, 68.5011)
(80.636, 31.442)
(80.2115, 50.0343)
(80.007, 83.234)
(79.955, 71.9464)
(79.9105, 50.79)
(79.9059, 42.3619)
(79.6203, 23.8132)
(79.5992, 32.1433)
(79.296, 23.862)
(79.2841, 40.0957)
(79.027, 11.254)
(78.999, 85.2372)
(78.962, 63.341)
(78.496, 11.85)
(78.3883, 8.741)
(78.3248, 86.8401)
(78.3206, 39.8717)
(78.2977, 89.2037)
(78.2931, 24.1472)
(78.202, 30.121)
(78.1394, 8.7982)
(78.0977, 78.8971)
(78.0658, 59.4912)
(78.051, 74.651)
(77.9651, 51.7985)
(77.632, 33.6406)
(77.4789, 24.2894)
(77.4752, 49.1286)
(77.4105, 40.4768)
(77.384, 74.8299)
(77.2274, 52.2127)
(77.1899, 21.4238)
(77.1371, 60.7729)
(77.1252, 52.3994)
(77.0841, 43.317)
(76.9946, 8.0242)
(76.8715, 38.4145)
(76.7923, 28.8585)
(76.6251, 9.3774)
(76.5373, 66.8457)
(76.445, 48.53)
(76.397, 10.119)
(76.3955, 30.0844)
(76.3554, 65.1753)
(76.3155, 4.0628)
(76.2741, 83.5037)
(76.165, 32.917)
(76.005, 75.066)
(75.9317, 48.3259)
(75.673, 55.4296)
(75.6262, 84.5261)
(75.53, 41.3506)
(75.5153, 62.2686)
(75.4406, 43.1749)
(74.973, 38.0194)
(74.904, 8.308)
(74.8952, 74.0672)
(74.843, 53.222)
(74.821, 9.013)
(74.671, 1.755)
(74.6302, 65.3859)
(74.489, 21.337)
(74.4206, 11.7508)
(74.2559, 90.2671)
(74.2382, 63.3174)
(74.1962, 64.8419)
(74.0803, 39.9726)
(73.988, 1.8253)
(73.8807, 94.0711)
(73.8668, 38.0006)
(73.784, 2.818)
(73.748, 19.454)
(73.7448, 84.903)
(73.7022, 31.6385)
(73.567, 29.32)
(73.5596, 48.3342)
(73.4534, 84.4199)
(73.4377, 26.1311)
(73.3162, 71.5368)
(73.21, 29.028)
(73.1091, 37.3705)
(72.934, 91.6474)
(72.8811, 57.8749)
(72.8739, 77.7496)
(72.8341, 96.3993)
(72.8055, 48.6203)
(72.772, 80.191)
(72.635, 58.4062)
(72.4586, 81.5336)
(72.3417, 99.3267)
(72.1118, 36.9497)
(71.96, 32.852)
(71.7538, 99.0931)
(71.6806, 15.8525)
(71.5581, 4.6839)
(71.5468, 25.5249)
(71.5338, 37.4308)
(71.3472, 58.819)
(71.3351, 21.5006)
(71.2716, 12.3346)
(71.2028, 16.9543)
(71.1518, 24.6538)
(71.099, 84.4968)
(71.0369, 6.1948)
(70.9634, 7.779)
(70.9038, 20.8943)
(70.8427, 10.788)
(70.83, 22.762)
(70.777, 12.039)
(70.75, 51.601)
(70.7374, 23.3742)
(70.5952, 17.0692)
(70.5588, 59.4567)
(70.5421, 24.773)
(70.3872, 56.6774)
(70.1491, 27.4167)
(70.143, 77.285)
(70.14, 27.095)
(70.0367, 76.2143)
(69.875, 93.15)
(69.814, 18.045)
(69.7833, 26.1348)
(69.6664, 74.1221)
(69.6117, 29.5284)
(69.563, 16.937)
(69.416, 62.5162)
(69.2649, 12.8515)
(69.2635, 27.9019)
(69.0647, 58.8274)
(68.8336, 26.949)
(68.73, 86.724)
(68.7047, 18.2129)
(68.5991, 87.7157)
(68.3908, 88.3279)
(68.3201, 92.8083)
(68.1547, 87.3683)
(68.0583, 23.6591)
(67.96, 24.1814)
(67.9264, 64.2915)
(67.832, 15.433)
(67.828, 23.538)
(67.635, 3.4533)
(67.616, 75.963)
(67.6028, 53.5759)
(67.508, 26.573)
(67.481, 13.112)
(67.4268, 71.4425)
(67.2798, 81.7888)
(67.0797, 85.4137)
(67.0649, 38.0541)
(67.0501, 42.5645)
(66.621, 66.6235)
(66.392, 81.464)
(66.3553, 19.4965)
(66.1689, 11.9905)
(65.858, 66.899)
(65.7501, 63.5583)
(65.6926, 32.2449)
(65.5503, 54.3816)
(65.5028, 78.6063)
(65.4337, 37.3344)
(65.4021, 66.2612)
(65.2343, 30.2776)
(65.1885, 18.5959)
(65.083, 67.753)
(64.6628, 47.5634)
(64.3213, 71.62)
(64.306, 55.757)
(64.0733, 10.0596)
(63.9331, 36.9112)
(63.8551, 59.6645)
(63.7276, 73.0586)
(63.4525, 17.2215)
(63.306, 43.199)
(63.2298, 22.5459)
(63.145, 13.081)
(63.0995, 76.6079)
(62.9589, 88.534)
(62.8598, 56.7795)
(62.7883, 89.0516)
(62.733, 84.2147)
(62.5131, 4.9459)
(62.4714, 29.0768)
(62.207, 56.694)
(62.191, 9.492)
(62.157, 31.778)
(62.1161, 86.9469)
(62.077, 2.145)
(62.0057, 73.0352)
(61.921, 89.869)
(61.8521, 47.8693)
(61.7394, 78.1019)
(61.688, 67.4306)
