1 97; Linie: 0.42 96.736
1 92; Linie: 0.523 92.555
1 9; Linie: 0.514 8.975
1 8; Linie: 0.492 7.996
1 30; Linie: 0.437 29.612
1 99; Linie: 0.523 99.247
1 23; Linie: 0.418 22.998
1 30; Linie: 0.27 29.737
1 12; Linie: 0.047 11.076
1 12; Linie: 0.514 11.414
1 68; Linie: 0.516 68.227
1 4; Linie: 0.532 3.85
1 63; Linie: 0.538 63.405
1 88; Linie: 0.528 87.698
1 59; Linie: 0.346 59.379
1 34; Linie: 0.335 34.246
1 62; Linie: 0.139 61.984
1 3; Linie: 0.447 2.248
1 44; Linie: 0.225 43.845
1 80; Linie: 0.509 79.79
1 51; Linie: 0.491 50.38
1 99; Linie: 0.523 99.247
1 99; Linie: 0.465 99.122
1 87; Linie: 0.06 87.808
1 10; Linie: 0.541 9.773
1 49; Linie: 0.459 49.144
1 20; Linie: 0.437 19.826
1 45; Linie: 0.449 45.191
1 87; Linie: 0.402 86.789
1 14; Linie: 0.333 14.08
1 59; Linie: 0.336 59.02
1 93; Linie: 0.551 92.882
1 8; Linie: 0.51 7.408
1 71; Linie: 0.572 71.523
1 3; Linie: 0.447 2.248
1 30; Linie: 0.568 29.89
1 40; Linie: 0.555 40.357
1 10; Linie: 0.466 9.933
1 85; Linie: 0.456 84.873
1 12; Linie: 0.514 11.414
1 30; Linie: 0.316 29.579
1 65; Linie: 0.572 64.835
1 92; Linie: 0.47 93.131
1 92; Linie: 0.107 92.954
1 9; Linie: 0.514 8.975
1 58; Linie: 0.254 58.373
1 82; Linie: 0.281 82.025
1 36; Linie: 0.422 35.886
1 92; Linie: 0.523 92.516
1 52; Linie: 0.432 52.526
1 93; Linie: 0.206 93.045
1 54; Linie: 0.495 54.39
1 3; Linie: 0.447 2.248
1 50; Linie: 0.586 50.071
1 52; Linie: 0.452 51.526
1 10; Linie: 0.514 8.975
1 2; Linie: 0.596 1.913
1 79; Linie: 0.059 79.405
1 79; Linie: 0.592 79.5
1 2; Linie: 0.596 1.913
1 19; Linie: 0.335 18.352
1 2; Linie: 0.596 1.913
1 97; Linie: 0.511 97.034
1 3; Linie: 0.596 1.913
1 3; Linie: 0.596 1.913
1 3; Linie: 0.596 1.913
1 3; Linie: 0.596 1.913
1 33; Linie: 0.172 33.686
1 11; Linie: 0.454 10.451
1 79; Linie: 0.059 79.405
1 79; Linie: 0.509 79.79
1 10; Linie: 0.541 9.773
1 10; Linie: 0.586 10.254
1 38; Linie: 0.59 37.835
1 7; Linie: 0.589 7.105
